,author,title,entity,kind,total
1,"Atwood, Margaret",The Handmaid's Tale,Adam,person,-3
2,"Atwood, Margaret",The Handmaid's Tale,Alma,person,2
3,"Atwood, Margaret",The Handmaid's Tale,Aunt Helena,person,8
4,"Atwood, Margaret",The Handmaid's Tale,Aunt Lydia,person,2.180722892
5,"Atwood, Margaret",The Handmaid's Tale,Aunt Lydias,person,1.4
6,"Atwood, Margaret",The Handmaid's Tale,Ben,person,0
7,"Atwood, Margaret",The Handmaid's Tale,David,person,0
9,"Atwood, Margaret",The Handmaid's Tale,Elizabeth,person,1.583333333
10,"Atwood, Margaret",The Handmaid's Tale,Helen,person,8
11,"Atwood, Margaret",The Handmaid's Tale,Howe,person,6
12,"Atwood, Margaret",The Handmaid's Tale,Janine,person,1.25
13,"Atwood, Margaret",The Handmaid's Tale,Luke,person,0.888888889
14,"Atwood, Margaret",The Handmaid's Tale,Martha,person,0.333333333
15,"Atwood, Margaret",The Handmaid's Tale,Merry Widow,person,2
16,"Atwood, Margaret",The Handmaid's Tale,Moira,person,0.054054054
17,"Atwood, Margaret",The Handmaid's Tale,Nick,person,-1.076923077
18,"Atwood, Margaret",The Handmaid's Tale,Ofglen,person,0.083333333
19,"Atwood, Margaret",The Handmaid's Tale,Rachel,person,0
20,"Atwood, Margaret",The Handmaid's Tale,Raymond Chandler,person,-5
21,"Atwood, Margaret",The Handmaid's Tale,Rita,person,0.111111111
22,"Atwood, Margaret",The Handmaid's Tale,Saint Paul,person,4
23,"Atwood, Margaret",The Handmaid's Tale,San Andreas,person,-3
24,"Atwood, Margaret",The Handmaid's Tale,Serena,person,4.555555556
25,"Bradbury, Ray",Fahrenheit 451,Albert Schweitzer,person,9
26,"Bradbury, Ray",Fahrenheit 451,Beatty,person,0.083333333
27,"Bradbury, Ray",Fahrenheit 451,Byron,person,0
28,"Bradbury, Ray",Fahrenheit 451,Captain Beatty,person,5
29,"Bradbury, Ray",Fahrenheit 451,Clarisse,person,0.625
30,"Bradbury, Ray",Fahrenheit 451,Don,person,-1.166666667
31,"Bradbury, Ray",Fahrenheit 451,Dr Johnson,person,2.5
32,"Bradbury, Ray",Fahrenheit 451,Faber,person,-1.272727273
33,"Bradbury, Ray",Fahrenheit 451,Granger,person,4.333333333
34,"Bradbury, Ray",Fahrenheit 451,Guy,person,-0.552238806
35,"Bradbury, Ray",Fahrenheit 451,Harris,person,0
36,"Bradbury, Ray",Fahrenheit 451,John,person,0.333333333
37,"Bradbury, Ray",Fahrenheit 451,Louis,person,0
38,"Bradbury, Ray",Fahrenheit 451,Luke,person,-4
39,"Bradbury, Ray",Fahrenheit 451,Marcus,person,3
40,"Bradbury, Ray",Fahrenheit 451,Mark,person,-4
41,"Bradbury, Ray",Fahrenheit 451,Mildred Montag,person,0.37037037
42,"Bradbury, Ray",Fahrenheit 451,Mr Lincoln,person,14
43,"Bradbury, Ray",Fahrenheit 451,Mrs Phelps,person,-3.333333333
44,"Bradbury, Ray",Fahrenheit 451,Pete,person,-4
45,"Bradbury, Ray",Fahrenheit 451,Philip Sidney,person,4
46,"Bradbury, Ray",Fahrenheit 451,Thomas Jefferson,person,14
47,"Bradbury, Ray",Fahrenheit 451,Thomas Love Peacock,person,14
48,"Le Guin, Ursula K.",Word for World is Forest,Aabi,person,-0.5
49,"Le Guin, Ursula K.",Word for World is Forest,Ben,person,0.1
50,"Le Guin, Ursula K.",Word for World is Forest,Benton,person,-0.285714286
51,"Le Guin, Ursula K.",Word for World is Forest,Captain Susun,person,12
52,"Le Guin, Ursula K.",Word for World is Forest,"Captain
Don",person,9
53,"Le Guin, Ursula K.",Word for World is Forest,"Captain
Lyubov",person,15
54,"Le Guin, Ursula K.",Word for World is Forest,Coro Mena,person,0
55,"Le Guin, Ursula K.",Word for World is Forest,David,person,2
56,"Le Guin, Ursula K.",Word for World is Forest,Don,person,1.440677966
57,"Le Guin, Ursula K.",Word for World is Forest,Ebor Dendep,person,-1.25
58,"Le Guin, Ursula K.",Word for World is Forest,Gosse,person,1.111111111
59,"Le Guin, Ursula K.",Word for World is Forest,Howe,person,6.5
60,"Le Guin, Ursula K.",Word for World is Forest,Hunter,person,-1
61,"Le Guin, Ursula K.",Word for World is Forest,Kees,person,-1.222222222
62,"Le Guin, Ursula K.",Word for World is Forest,Lepennon,person,1.181818182
63,"Le Guin, Ursula K.",Word for World is Forest,Lord Dreamer,person,-2
64,"Le Guin, Ursula K.",Word for World is Forest,Lyubov,person,0.209876543
65,"Le Guin, Ursula K.",Word for World is Forest,Sam,person,2.5
66,"Le Guin, Ursula K.",Word for World is Forest,Seiver,person,-1
68,"Le Guin, Ursula K.",Word for World is Forest,Smith Camp,person,-0.25
69,"Le Guin, Ursula K.",Word for World is Forest,Smith Land,person,1.666666667
70,"Le Guin, Ursula K.",Word for World is Forest,Thele,person,-4
71,"Le Guin, Ursula K.",Word for World is Forest,Tuntar,person,1.166666667
72,"Le Guin, Ursula K.",Word for World is Forest,"Van
Sten",person,3
73,"Orwell, George",1984,Adam,person,0
74,"Orwell, George",1984,Ampleforth,person,-1.75
75,"Orwell, George",1984,Ben,person,-1.5
76,"Orwell, George",1984,Big Brother,person,2.095238095
79,"Orwell, George",1984,Charringtons,person,-1
80,"Orwell, George",1984,Cock Robin,person,-2
81,"Orwell, George",1984,Comrade Ogilvy,person,3
83,"Orwell, George",1984,Goldstein,person,-0.260869565
85,"Orwell, George",1984,Ingsoc,person,2.357142857
87,"Orwell, George",1984,Jones,person,-8.5
88,"Orwell, George",1984,Julia,person,-0.548387097
89,"Orwell, George",1984,Lord Mayors Banquet,person,3
90,"Orwell, George",1984,Martin,person,3
91,"Orwell, George",1984,Nick,person,-0.666666667
92,"Orwell, George",1984,O'Brien,person,0.025316456
93,"Orwell, George",1984,"Oliver
Cromwell",person,2
94,"Orwell, George",1984,Parsons,person,-0.684210526
96,"Orwell, George",1984,Syme,person,0.0625
97,"Orwell, George",1984,Winston,person,0.239631336
98,"Rand, Ayn",Anthem,Equality,person,3.166666667
99,"Rand, Ayn",Anthem,Liberty,person,8.04
